hour_utc,fleet,events,payload_bytes
00,prod,17610000,23984820000
00,loadtest,22900000,20610000000
01,prod,13427000,18408417000
01,loadtest,17462100,15838124700
02,prod,11509000,15974492000
02,loadtest,14968700,13681391800
03,prod,10742000,15060284000
03,loadtest,13971600,12867843600
04,prod,11509000,16285235000
04,loadtest,14968700,13890953600
05,prod,14578000,20715338000
05,loadtest,18958400,17726104000
06,prod,21100000,29708800000
06,loadtest,27437000,25845654000
07,prod,29923000,41742585000
07,loadtest,38906900,36922648100
08,prod,39130000,54077660000
08,loadtest,50876000,48637456000
09,prod,47570000,65456320000
09,loadtest,61848000,59559624000
10,prod,52941000,72476229000
10,loadtest,68830300,66765391000
11,prod,56777000,77103166000
11,loadtest,73817100,72119306700
12,prod,59463000,80096661000
12,loadtest,77308900,76071957600
13,prod,62148000,86447868000
13,loadtest,80799400,80072205400
14,prod,63720000,89462880000
14,loadtest,71450000,71307100000
15,prod,63683000,92268224000
15,loadtest,82794900,83208874500
16,prod,60614000,86435564000
16,loadtest,78805200,79750862400
17,prod,55243000,79163219000
17,loadtest,71822900,73187535100
18,prod,49872000,71865552000
18,loadtest,64840600,66526455600
19,prod,44118000,63044622000
19,loadtest,57360400,59253293200
20,prod,37596000,53085552000
20,loadtest,48881800,43993620000
21,prod,31458000,43978284000
21,loadtest,40902400,37098476800
22,prod,25320000,35068200000
22,loadtest,32923000,30091622000
23,prod,19949000,27370028000
23,loadtest,25940700,23891384700
