txId,postedAt,account,direction,amount,currency,reversalOf,description
TX-0057,2024-01-04T11:39:00.000Z,expenses:ops:travel,credit,188.41,USD,,clean settlement 57
TX-0015,2024-01-16T14:45:00.000Z,expenses:ops:travel,credit,56.95,USD,,clean settlement 15
TX-0181,2024-03-21T09:00:00.000Z,assets:receivable:trade,credit,640.00,USD,,large refund
TX-0048,2024-01-22T11:36:00.000Z,assets:cash:operating,credit,160.24,USD,,clean settlement 48
TX-0040,2024-02-14T12:40:00.000Z,income:sales:subscription,debit,135.20,USD,,clean settlement 40
TX-0171,2024-02-21T10:10:00.000Z,assets:receivable:trade,credit,94.00,USD,,book A only
TX-0026,2024-03-27T16:02:00.000Z,expenses:ops:hosting,debit,91.38,USD,,clean settlement 26
TX-0018,2024-01-19T08:06:00.000Z,assets:cash:operating,credit,66.34,USD,,clean settlement 18
TX-0029,2024-03-03T10:23:00.000Z,liabilities:payable:trade,debit,100.77,USD,,clean settlement 29
TX-0161,2024-01-10T16:40:00.000Z,assets:receivable:trade,debit,20.625,USD,,sub-cent invoice
TX-0120,2024-01-18T11:05:00.000Z,income:sales:subscription,debit,100.00,USD,,split posting
TX-0012,2024-01-13T11:24:00.000Z,assets:cash:operating,credit,47.56,USD,,clean settlement 12
TX-0032,2024-03-06T13:44:00.000Z,expenses:ops:hosting,debit,1216,JPY,,clean settlement 32
TX-0037,2024-02-11T09:19:00.000Z,assets:receivable:trade,debit,125.81,USD,,clean settlement 37
TX-0050,2024-03-24T13:50:00.000Z,expenses:ops:hosting,debit,1450,JPY,,clean settlement 50
TX-0004,2024-02-05T12:28:00.000Z,income:sales:subscription,debit,22.52,USD,,clean settlement 4
TX-0011,2024-03-12T10:17:00.000Z,liabilities:payable:trade,debit,44.43,EUR,,clean settlement 11
TX-0009,2024-01-10T08:03:00.000Z,expenses:ops:travel,credit,13.233,BHD,,clean settlement 9
TX-0025,2024-02-26T15:55:00.000Z,assets:receivable:trade,debit,88.25,USD,,clean settlement 25
